0.1,
Channel,Type,Title,Mode,Index,CH-Type,Group,
FNC_CHM+APP.LEAK_CHECK.LOG.MESSAGE,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.PRESSURE,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.RATE,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.RESULT,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.START_PRESSURE,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.APC.HOLD.DELAY,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.APC.LEARNED.POS,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.APC.MODE,EVENT,,DISABLE,0,D,,
FNC_STEP+RCP.APC.POSITION,EVENT,,DISABLE,0,A,,
FNC_STEP+RCP.APC.PRESET.POS,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.APC.PRESSURE,EVENT,,DISABLE,0,A,,
FNC_STEP+RCP.APC.TOL.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.APC.TOL.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.DPC.CENTER.PRESSURE,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.DPC.CENTER.ZONE.FLOW.MAX.THRESHOLD,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.DPC.CENTER.ZONE.FLOW.MIN.THRESHOLD,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.DPC.EDGE.PRESSURE,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.DPC.EDGE.ZONE.FLOW.MAX.THRESHOLD,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.DPC.EDGE.ZONE.FLOW.MIN.THRESHOLD,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.ESC.CTRL.MODE,EVENT,,DISABLE,0,D,,
FNC_STEP+RCP.GAS.01.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.01.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.02.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.02.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.03.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.03.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.04.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.04.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.05.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.05.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.06.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.06.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.07.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.07.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.08.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.08.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.09.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.09.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.10.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.10.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.11.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.11.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.12.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.12.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.13.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.13.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.14.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.14.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.15.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.15.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.16.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.16.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.17.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.17.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.18.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.18.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.19.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.19.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.20.FLOW,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.GAS.20.RAMP.SEC,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.LIFT_PIN.MODE,EVENT,,DISABLE,0,D,,
FNC_STEP+RCP.MAT.400KHZ.CAPACITY,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.MAT.400KHZ.SERIES,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.MAT.400KHZ.SHUNT,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.MAT.40MHZ.CAPACITY,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.MAT.40MHZ.SERIES,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.MAT.40MHZ.SHUNT,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.400KHZ.POWER,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.400KHZ.TOL.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.400KHZ.TOL.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.400KHZ.WAIT.TIME,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.40MHZ.POWER,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.40MHZ.TOL.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.40MHZ.TOL.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.40MHZ.WAIT.TIME,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.RPS.POWER,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.RPS.TOL.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.RF.RPS.TOL.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH1.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH1.OFFSET,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH1.TEMP,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH1.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH2.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH2.OFFSET,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH2.TEMP,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH2.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH3.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH3.OFFSET,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH3.TEMP,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH3.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH4.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH4.OFFSET,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH4.TEMP,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.SH4.WARNING,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.STEP.MESSAGE,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.STEP.MODE,EVENT,,DISABLE,0,D,,
FNC_STEP+RCP.STEP.TIME,EVENT,,DISABLE,0,A,,
FNC_STEP+RCP.WALL.MAIN.ALARM,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.WALL.MAIN.OFFSET,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.WALL.MAIN.TEMP,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.WALL.MAIN.WARNING,EVENT,,DISABLE,0,S,,
