OBJECT_NAME : __SYS,
OK,0,__SYS - SYSTEM ERROR,,CHECK	,
OK,11,__SYS - System Error 11 - Dll Title,System Error 11 - Dll Message,CHECK	,
OK,13,__SYS - Alarm Clear Test !,,CHECK	,
OK,12,__SYS - SYSTEM WARNING 12,,CHECK	,
OK,21,__SYS - System Error : Async Timer Max Error,,CHECK	,
OK,31,__SYS -  AlarmID(1),AlarmID(1)'s message ...,ABORT	RETRY	ACT.1	,
OK,32,__SYS -  AlarmID(2),AlarmID(2)'s message ...,ABORT	RETRY	ACT.2	,
OK,33,__SYS -  AlarmID(3),AlarmID(3)'s message ...,ABORT	RETRY	ACT.3	,
OK,34,__SYS -  AlarmID(4),AlarmID(4)'s message ...,ABORT	RETRY	ACT.4	,
OK,35,__SYS -  AlarmID(5),AlarmID(5)'s message ...,ABORT	RETRY	ACT.5	,

OBJECT_NAME : DB_CFG,
OK,1,DB_CFG - The config setting of "Setup Mode" is "ENABLE" !,Please	 check config page.<\n>,CHECK	,
OK,2,DB_CFG - Simulation mode is active !,,CHECK	,
OK,3,DB_CFG - PMC-Dummy mode is active !,,CHECK	,

OBJECT_NAME : FNC__LBA,
OK,11,FNC__LBA - SV & Door Open Error,You can't open SV and Door at same time !,ABORT	RETRY	IGNORE	,
OK,12,FNC__LBA - Leak Check is higher than config value !,,CHECK	,

OBJECT_NAME : FNC__LBB,
OK,11,FNC__LBB - SV & Door Open Error,You can't open SV and Door at same time !,ABORT	RETRY	IGNORE	,
OK,12,FNC__LBB - Leak Check is higher than config value !,,CHECK	,

OBJECT_NAME : FNC__LBx_TEST,
OK,1,FNC__LBx_TEST - LBA's status is not "MAINTMODE".,Please	 convert LBA's status to "MAINTMODE" !<\n>,CHECK	,
OK,2,FNC__LBx_TEST - LBB's status is not "MAINTMODE".,Please	 convert LBB's status to "MAINTMODE" !<\n>,CHECK	,
OK,3,FNC__LBx_TEST - LBC's status is not "MAINTMODE".,Please	 convert LBC's status to "MAINTMODE" !<\n>,CHECK	,
OK,4,FNC__LBx_TEST - LBD's status is not "MAINTMODE".,Please	 convert LBD's status to "MAINTMODE" !<\n>,CHECK	,

OBJECT_NAME : FNC__MANIFOLD_TEST,
